№;Дата;Рейдери;Нік
1;13.11.2024 11:47;6;artik_ko  
2;14.11.2024 11:59;7;ElinPlay  
3;15.11.2024 11:54;7;vlad_2love  
4;18.11.2024 11:54;4;icebeergj  
5;19.11.2024 11:57;9;chinaski1996  
6;20.11.2024 11:56;6;soulful_cake  
7;21.11.2024 10:58;8;vlad_2love  
8;22.11.2024 11:41;4;Polivalko  
9;25.11.2024 12:00;13;Polivalko  
10;26.11.2024 08:54;4;luciussssss_  
11;26.11.2024 11:50;8;yuli_chka_  
12;27.11.2024 11:53;5;IIyKIIyK  
13;29.11.2024 11:48;2;OldWizzz  
14;02.12.2024 11:56;4;deneti_mi  
15;03.12.2024 11:58;4;NeoHomka  
16;04.12.2024 11:56;4;Raccoon_WAVE  
17;05.12.2024 10:56;5;yuli_chka_  
18;09.12.2024 11:57;4;gr1verdik  
19;10.12.2024 11:59;6;vidnosno_khvoryi  
20;11.12.2024 11:55;6;YantaroArt  
21;12.12.2024 11:58;6;merveilleux5  
22;13.12.2024 09:56;4;mal9csgo  
23;16.12.2024 11:55;4;ErnestGrann  
24;17.12.2024 12:00;6;biduk1983  
25;18.12.2024 11:56;6;James_UA_  
26;19.12.2024 11:56;6;trickster_lis  
27;20.12.2024 11:53;7;Polivalko  
28;23.12.2024 11:53;6;trickster_lis  
29;24.12.2024 11:57;6;trickster_lis  
30;25.12.2024 10:35;7;Sandr_UA  
31;26.12.2024 11:53;2;stepaniida  
32;27.12.2024 11:48;5;BBVP1  
33;01.01.2025 12:03;6;sasha_verba  
34;02.01.2025 11:45;8;NemesiaUA  
35;03.01.2025 11:54;7;LelouchDG  
36;06.01.2025 11:39;97;Polivalko  
37;07.01.2025 12:03;7;NoriChanneI  
38;08.01.2025 12:04;12;KateR0ni  
39;09.01.2025 11:55;8;anstanilen  
40;10.01.2025 12:03;9;vadimwild_  
41;13.01.2025 11:51;6;TreeshMei  
42;14.01.2025 12:02;7;aistreamerchat  
43;15.01.2025 11:57;9;vlad_2love  
44;16.01.2025 11:50;6;artik_ko  
45;17.01.2025 11:50;6;Polivalko  
46;20.01.2025 12:02;6;dpvoice  
47;21.01.2025 11:57;6;vlad_2love  
48;22.01.2025 12:00;5;Sumyk_  
49;23.01.2025 12:01;8;yuraybb  
50;24.01.2025 11:59;11;Polivalko  
51;27.01.2025 12:08;8;Kosssaku  
52;28.01.2025 12:04;12;ANIDOROB  
53;29.01.2025 11:58;8;BeardedDrewUA  
54;30.01.2025 12:01;7;desmondua  
55;31.01.2025 12:03;9;olejneolej  
56;03.02.2025 11:59;7;vlad_2love
57;04.02.2025 12:05;6;zunraid9
58;05.02.2025 11:55;7;erik_frak
59;06.02.2025 12:02;5;vim_tokenfan
60;07.02.2025 11:58;4;pumpkinn_8
61;10.02.2025 11:53;8;naazarovich
62;11.02.2025 11:52;8;vlad_2love
63;12.02.2025 11:59;5;tuttifrutti_play
64;13.02.2025 11:52;10;merveilleux5
65;14.02.2025 11:58;10;artemkudaschew
66;17.02.2025 11:51;5;maxvelllion
67;18.02.2025 11:59;11;All1bi
68;19.02.2025 11:56;8;rocksteadydubz95
69;20.02.2025 11:59;6;HanIngvar
70;21.02.2025 11:57;7;nekoboy_ua
71;24.02.2025 11:54;10;klein_game
72;25.02.2025 12:02;9;fate_221
73;26.02.2025 11:55;9;artik_ko
74;27.02.2025 12:01;13;JVST_frnds
75;28.02.2025 11:58;11;aidenxgo
76;03.03.2025 11:57;7;MrXrayMR
77;04.03.2025 11:55;11;klein_game
78;05.03.2025 11:55;12;zeffirna
79;06.03.2025 11:53;13;aidenxgo
80;07.03.2025 12:05;7;NemesiaUA
81;10.03.2025 11:59;17;platton9
82;11.03.2025 12:01;18;Fjorhein
83;12.03.2025 11:58;11;603628
84;13.03.2025 11:59;13;pumpkinn_8
85;14.03.2025 11:50;12;vlad_2love
86;17.03.2025 11:58;8;olivka006
87;18.03.2025 11:54;8;acousticua
88;19.03.2025 11:48;8;aldo_vt
89;20.03.2025 11:55;9;morok_rk
90;21.03.2025 11:59;11;GOATBats
91;24.03.2025 11:57;14;Ba1zerCG
92;25.03.2025 11:55;11;kork0za
93;26.03.2025 11:55;27;mewilis
94;27.03.2025 11:58;7;yuraybb
95;28.03.2025 11:56;10;sunsafi
96;31.03.2025 11:52;6;smile_hamster
97;01.04.2025 11:53;4;gardamyyy
98;02.04.2025 11:54;9;hevko0
99;03.04.2025 11:58;8;klein_game
100;04.04.2025 11:59;17;MariaDaedra
101;07.04.2025 11:56;18;meowcore_
102;08.04.2025 11:58;10;trickster_lis
103;09.04.2025 11:56;5;zeffirna
104;10.04.2025 12:00;6;kseniiakinza
105;11.04.2025 11:57;9;Polivalko
106;14.04.2025 11:56:04;8;NemesiaUA
107;15.04.2025 12:02:51;13;ne3ver
108;16.04.2025 11:57:31;10;anstanilend
109;17.04.2025 11:59:59;14;Krian__
110;18.04.2025 12:02:22;12;lodianyk
