№;Дата;Рейдери;Нік
1;03.12.2024 9:59;10;luciussssss_
2;11.12.2024 10:45;10;Ba1zerCG 
3;16.12.2024 10:44;2;mal9csgo 
4;19.12.2024 9:06;3;vlad_2love 
5;06.01.2025 9:49;204;D1S4tv 
6;15.01.2025 10:01;3;AlmostBoat
7;16.01.2025 9:03;4;vlad_2love
8;03.02.2025 8:46;5;vlad_2love
9;10.02.2025 8:14;2;vlad_2love
10;12.02.2025 11:11;4;vlad_2love
11;06.03.2025 11:23;2;uapixar
12;21.03.2025 10:03;3;the_calmest
13;26.03.2025 10:55;16;ElinPlay
14;27.03.2025 10:29;2;the_calmest
15;02.04.2025 10:37;2;the_calmest
16;03.04.2025 10:30;2;the_calmest
17;04.04.2025 10:37;2;the_calmest
18;07.04.2025 11:50;4;NemesiaUA
19;08.04.2025 10:26;7;olejneolej
20;16.05.2025 8:18;5;Bananium_
21;16.05.2025 10:12;13;ElinPlay
22;19.05.2025 10:01;16;ElinPlay
23;19.05.2025 10:54;4;uapixar
24;21.05.2025 11:30;3;Krian__
25;05.06.2025 8:08;5;uapixar
26;13.06.2025 8:16;12;Olejandrooo
27;16.06.2025 8:58;5;uapixar
28;17.06.2025 8:09;47;hevko0
29;18.06.2025 10:38;2;the_calmest
30;24.06.2025 9:58;10;uapixar
31;01.07.2025 10:04;8;ElinPlay
32;01.07.2025 11:48;7;NemesiaUA
33;02.07.2025 10:31;2;sirozhka_
34;03.07.2025 9:50;27;uapixar
35;04.07.2025 8:20;1;sirozhka_
36;09.07.2025 9:55;6;Mr_iPATRIK
37;11.07.2025 8:32;57;MilaTNM
38;24.07.2025 9:16;10;uapixar
39;29.07.2025 8:05;10;Bananium_
40;04.08.2025 9:22;17;Mr_iPATRIK
41;11.08.2025 8:12;31;allidarsu
42;11.08.2025 9:22;9;Mr_iPATRIK
43;12.08.2025 8:34;5;Trickster_Lis
44;21.08.2025 10:51;2;that_0ne_fox
45;25.08.2025 10:20;3;the_calmest
46;26.08.2025 10:07;3;the_calmest
47;27.08.2025 10:21;3;the_calmest
48;28.08.2025 9:20;9;mr__brom
49;02.09.2025 10:44;4;the_calmest
50;03.09.2025 9:43;3;the_calmest
51;09.09.2025 8:54;11;INF_UA
52;11.09.2025 9:36;2;the_calmest
53;16.09.2025 9:18;13;ElinPlay
54;26.09.2025 8:05;8;baanan4iks
55;29.09.2025 10:29;4;ElinPlay
56;30.09.2025 8:20;8;ElinPlay
57;07.10.2025 9:01;43;PeacekeeperUA
58;17.10.2025 9:07;28;mr__brom
59;20.10.2025 9:42;49;Marysia_Serhiivna
60;29.10.2025 11:33;49;ElinPlay
61;07.11.2025 08:05:56;42;Marysia_Serhiivna
62;13.11.2025 10:01:39;10;ElinPlay
63;21.11.2025 11:06:06;23;ElinPlay
64;28.11.2025 08:05:45;24;Deko6
65;03.12.2025 10:01:12;7;iFobbi
66;10.12.2025 11:44:23;20;UAYarinka
67;12.12.2025 08:59:24;15;AtamanKIT
68;18.12.2025 08:40:31;9;yourpovilitel
69;22.12.2025 11:10:51;7;AkadoPB
70;29.12.2025 08:05:57;5;INF_UA
71;05.01.2026 09:29:59;3;elfimus_ua
72;08.01.2026 11:01:02;4;Krampus_play_
73;09.01.2026 10:08:42;31;mr__brom
74;09.01.2026 10:58:48;25;Pearlynka
75;13.01.2026 11:53:05;3;NemesiaUA
76;14.01.2026 08:06:47;19;Olejandrooo
77;19.01.2026 08:49:34;5;cartm_an
78;02.02.2026 09:27:04;4;NemesiaUA
79;06.02.2026 11:19:37;8;mr__brom
80;11.02.2026 08:13:26;7;fei_rina
81;12.02.2026 08:34:04;30;mr__brom
82;16.02.2026 09:34:16;4;fei_rina
83;17.02.2026 09:27:29;6;EnnoMY
84;19.02.2026 09:21:27;5;INF_UA
85;24.02.2026 11:48:32;2;izumkaua
86;25.02.2026 09:43:49;11;bastetvibe
87;10.03.2026 08:20:39;47;Olejandrooo
88;10.03.2026 09:07:24;10;ElinPlay
89;10.03.2026 11:22:01;5;the_calmest
90;11.03.2026 08:34:20;6;hub_killer
91;11.03.2026 10:52:58;13;ElinPlay
92;17.03.2026 09:37:32;18;jxqwip
93;25.03.2026 10:52:38;2;the_calmest
94;30.03.2026 08:19:00;12;INF_UA
95;31.03.2026 10:04:42;6;azi4ok
